graph_name,vertices,edges,edge_density,degree_variance,clustering_coefficient,k,bronKerbosch_time,bronKerbosch_max_found,bronKerbosch_success,branch_and_bound_time,branch_and_bound_max_found,branch_and_bound_success,simulated_annealing_time,simulated_annealing_max_found,simulated_annealing_success,genetic_alg_time,genetic_alg_max_found,genetic_alg_success
v100/17,100,4231,0.8547474747474747,11.615599999999986,0.6242115027829314,25,182.08386778831482,25,1.0,25.40609335899353,25,1.0,0.8911674499511719,25,0.5,0.3215038776397705,25,0.2
v100/18,100,2889,0.5836363636363636,27.931599999999985,0.19962894248608534,11,0.254000186920166,11,1.0,0.37199997901916504,11,1.0,0.6198549270629883,11,1.0,0.16810026168823242,11,0.6
v100/19,100,3280,0.6626262626262627,24.52000000000001,0.2915089672232529,13,0.9760017395019531,13,1.0,1.0617330074310303,13,1.0,0.5104137182235717,13,1.0,0.12450006008148193,13,1.0
v100/20,100,2481,0.5012121212121212,29.875600000000006,0.1263512677798392,11,0.07900023460388184,11,1.0,0.09400033950805664,11,1.0,0.48530004024505613,11,1.0,0.13690004348754883,11,0.7
v100/21,100,2652,0.5357575757575758,18.298400000000004,0.15257884972170688,9,0.12600040435791016,9,1.0,0.23599886894226074,9,1.0,0.3966999530792236,9,1.0,0.10769994258880615,9,1.0
v100/22,100,192,0.03878787878787879,4.7543999999999995,1.8552875695732837e-05,3,0.0009989738464355469,3,1.0,0.002000570297241211,3,1.0,0.3425243377685547,3,1.0,0.04330246448516846,3,1.0
v100/23,100,1138,0.2298989898989899,16.542399999999997,0.011910946196660482,5,0.002999544143676758,5,1.0,0.018001317977905273,5,1.0,0.34065539836883546,5,1.0,0.07329890727996827,5,1.0
v100/24,100,2726,0.5507070707070707,26.20959999999999,0.16719851576994435,10,0.15999960899353027,10,1.0,0.23299956321716309,10,1.0,0.5628228187561035,10,1.0,0.17338817119598388,10,0.6
v200/0,200,15625,0.785175879396985,36.8775,0.4841716156540277,24,600.0,0,0.0,600.0,0,0.0,1.2745616912841797,24,0.3,0.3208045482635498,24,0.1
v200/1,200,12025,0.6042713567839196,53.3675,0.2209494441906502,14,30.81541681289673,14,1.0,29.252282857894897,14,1.0,0.9671445846557617,14,0.5,0.2447005033493042,14,0.1
v200/2,200,12142,0.6101507537688442,46.643599999999964,0.22704431247144816,14,34.82585859298706,14,1.0,31.02021622657776,14,1.0,0.9951489925384521,14,0.5,0.2287522077560425,14,0.2
v200/3,200,6295,0.31633165829145726,41.57749999999997,0.03172072483630273,7,0.12600088119506836,7,1.0,0.5600006580352783,7,1.0,0.624855637550354,7,1.0,0.12360098361968994,7,0.7
v200/4,200,2805,0.14095477386934674,30.117499999999968,0.0028879244708390436,5,0.009001016616821289,5,1.0,0.08700132369995117,5,1.0,0.5523008584976197,5,1.0,0.13459999561309816,5,0.2
v200/5,200,9072,0.45587939698492463,43.97160000000001,0.09432160804020101,10,1.1804916858673096,10,1.0,2.3258473873138428,10,1.0,0.7606688976287842,10,0.5,0.18860135078430176,10,0.2
v200/6,200,8780,0.44120603015075377,55.32000000000001,0.08593345515456068,9,0.9119992256164551,9,1.0,2.478011131286621,9,1.0,0.77388916015625,9,1.0,0.15404767990112306,9,0.7
v200/7,200,9977,0.501356783919598,53.61709999999998,0.12614055124105375,11,2.9530105590820312,11,1.0,4.88518214225769,11,1.0,0.7208442687988281,11,0.1,0.20600719451904298,11,0.1
v200/8,200,8586,0.4314572864321608,43.57040000000002,0.08027181361352216,10,0.8040058612823486,10,1.0,1.6330010890960693,10,1.0,0.8126730918884277,10,0.3,0.19650051593780518,10,0.1
v200/9,200,10188,0.5119597989949749,44.84559999999993,0.13382899345210902,11,3.5720326900482178,11,1.0,5.945216417312622,11,1.0,0.7907486677169799,11,0.8,0.1679948091506958,11,0.5
v200/10,200,4810,0.24170854271356784,42.03000000000003,0.014178468098066088,6,0.041001319885253906,6,1.0,0.2720003128051758,6,1.0,0.5058001279830933,6,1.0,0.10789988040924073,6,0.8
v200/11,200,8104,0.4072361809045226,51.83839999999997,0.06747220953251104,9,0.5220086574554443,9,1.0,1.3789963722229004,9,1.0,0.6887006282806396,9,0.5,0.19552826881408691,0,0.0
v200/12,200,1002,0.05035175879396985,10.3496,0.00012867367138723923,4,0.0020003318786621094,4,1.0,0.02100062370300293,4,1.0,0.5603750705718994,4,1.0,0.12896740436553955,4,0.2
v200/13,200,10824,0.5439195979899497,42.882400000000004,0.16067306228110248,12,6.988131284713745,12,1.0,9.283913373947144,12,1.0,0.858436393737793,12,0.6,0.2153944730758667,12,0.1
v200/14,200,5462,0.2744723618090452,35.50560000000003,0.02059007156997107,7,0.06400060653686523,7,1.0,0.3279991149902344,7,1.0,0.611594820022583,7,0.9,0.16630737781524657,7,0.1
v200/15,200,11485,0.5771356783919598,54.537500000000016,0.1924935282472971,13,15.434205293655396,13,1.0,17.701765060424805,13,1.0,0.9272222518920898,13,0.6,0.2147575855255127,13,0.2
v200/16,200,13072,0.6568844221105528,50.37160000000001,0.28374447997563573,17,127.422860622406,17,1.0,90.16709613800049,17,1.0,1.1843462228775024,17,0.1,0.27404735088348386,0,0.0
v200/17,200,8803,0.44236180904522615,53.11910000000002,0.0863819095477387,9,0.9270002841949463,9,1.0,2.3030245304107666,9,1.0,0.6639214038848877,9,1.0,0.14140095710754394,9,0.7
v200/18,200,397,0.019949748743718593,4.519099999999999,7.613826709304096e-06,3,0.0010018348693847656,3,1.0,0.008001089096069336,3,1.0,0.35854101181030273,3,1.0,0.06919968128204346,3,1.0
v200/19,200,11131,0.5593467336683418,55.793900000000015,0.17530531445104308,12,10.290732145309448,12,1.0,15.716922044754028,12,1.0,0.8710026979446411,12,1.0,0.19955272674560548,12,0.4
v200/20,200,14514,0.7293467336683417,34.36040000000001,0.3876191563880006,19,600.0,0,0.0,600.0,0,0.0,1.2067130088806153,19,0.8,0.2529019832611084,19,0.5
v200/21,200,13836,0.6952763819095478,44.09040000000001,0.3361885183493224,18,422.165002822876,18,1.0,180.91462445259094,18,1.0,0.9674068450927734,18,0.1,0.26030821800231935,0,0.0
v200/22,200,16480,0.828140703517588,29.179999999999993,0.5679663468859448,28,600.0,0,0.0,600.0,0,0.0,1.3772125482559203,28,0.6,0.3466025352478027,28,0.2
v200/23,200,13138,0.6602010050251256,41.375600000000006,0.2874539363484087,16,135.31981134414673,16,1.0,77.1868052482605,16,1.0,1.0372551679611206,16,0.9,0.23190228939056395,16,0.2
v200/24,200,3991,0.20055276381909548,36.541900000000005,0.008133089690878635,6,0.020999431610107422,6,1.0,0.16399812698364258,6,1.0,0.5109000444412232,6,0.7,0.15259997844696044,6,0.1
v400/0,400,53643,0.6722180451127819,88.49377500000003,0.3037966146522084,19,600.0,0,0.0,600.0,0,0.0,1.9545149087905884,19,0.3,0.28025429248809813,0,0.0
v400/1,400,58758,0.7363157894736843,71.29590000000003,0.39907592473646425,23,600.0,0,0.0,600.0,0,0.0,2.186949610710144,23,0.1,0.31800222396850586,0,0.0
v400/2,400,23189,0.2905889724310777,86.386975,0.024471606151056032,8,1.2269997596740723,8,1.0,7.158082485198975,8,1.0,0.9518584489822388,8,0.5,0.16800229549407958,8,0.1
v400/3,400,30026,0.376265664160401,95.19810000000008,0.05324810140930215,10,7.723526239395142,9,0.0,22.482672691345215,10,1.0,0.945200514793396,9,0.0,0.20310263633728026,10,0.1
v400/4,400,47680,0.5974937343358396,93.71000000000002,0.2131975667812748,16,600.0,0,0.0,600.0,0,0.0,1.63095543384552,16,0.1,0.2537023305892944,0,0.0
v400/5,400,33807,0.4236466165413534,92.65377499999997,0.07601314844901198,11,23.53476309776306,11,1.0,49.71523427963257,11,1.0,1.2006653785705566,10,0.0,0.2070023536682129,0,0.0
v400/6,400,42846,0.5369172932330827,104.4621,0.15486700419390184,14,541.181978225708,14,1.0,599.1121115684509,14,1.0,1.3394155025482177,14,0.1,0.23069994449615477,0,0.0
v400/7,400,66652,0.8352380952380952,54.25740000000008,0.5826366796387955,34,600.0,0,0.0,600.0,0,0.0,2.6201722621917725,34,0.1,0.42925353050231935,0,0.0
v400/8,400,36135,0.45281954887218046,96.93437500000002,0.09282417727736426,12,48.91687798500061,12,1.0,92.55122470855713,12,1.0,1.29370219707489,12,0.1,0.21300010681152343,0,0.0
v400/9,400,37397,0.46863408521303257,92.399775,0.10290153776400801,12,75.18912410736084,12,1.0,120.69341444969177,12,1.0,1.3224572896957398,12,0.3,0.20900003910064696,12,0.1
v400/10,400,6976,0.08741854636591478,31.46559999999999,0.000668662863188121,5,0.023000478744506836,5,1.0,0.554999589920044,5,1.0,0.5785057306289673,5,0.4,0.14479994773864746,0,0.0
v400/11,400,78985,0.9897869674185463,4.879374999999959,0.9696693996297275,188,600.0,0,0.0,600.0,0,0.0,6.057528972625732,188,0.6,1.7959994792938232,0,0.0
v400/12,400,68504,0.8584461152882206,49.309600000000046,0.6326175048173197,40,600.0,0,0.0,600.0,0,0.0,3.2150150537490845,40,0.1,0.46920003890991213,0,0.0
v400/13,400,38053,0.4768546365914787,100.75477500000005,0.10846724222616844,12,93.00091791152954,12,1.0,154.40509867668152,12,1.0,1.246900701522827,12,0.2,0.20969970226287843,12,0.1
v400/14,400,32488,0.40711779448621555,96.93640000000003,0.06745286583292402,10,15.741604804992676,10,1.0,42.46418333053589,10,1.0,0.9648055315017701,10,0.5,0.18849990367889405,10,0.2
v400/15,400,13441,0.16843358395989974,60.46297499999996,0.004818642082593418,6,0.1249997615814209,6,1.0,1.692023754119873,6,1.0,0.9211094379425049,6,1.0,0.14840002059936525,6,0.2
v400/16,400,20856,0.2613533834586466,74.61160000000001,0.017839195979899497,7,0.6769998073577881,7,1.0,5.300550222396851,7,1.0,0.839806318283081,7,1.0,0.12749998569488524,7,0.7
v400/17,400,33136,0.41523809523809524,91.49259999999998,0.07156137832017229,10,19.27217721939087,10,1.0,50.04232215881348,10,1.0,1.1862712860107423,10,0.9,0.1929520845413208,10,0.1
v400/18,400,64123,0.803546365914787,70.16177500000009,0.5189331053765066,31,600.0,0,0.0,600.0,0,0.0,2.7317681312561035,31,0.1,0.3918999910354614,0,0.0
v400/19,400,33687,0.42214285714285715,97.60577499999995,0.07518995352703367,10,22.727095127105713,10,1.0,58.17880606651306,10,1.0,1.1517022848129272,10,0.9,0.1903000593185425,10,0.1
v400/20,400,34648,0.4341854636591479,101.27239999999978,0.08195781539275324,11,30.852181434631348,11,1.0,63.628687143325806,11,1.0,1.2352142095565797,11,0.2,0.20620241165161132,0,0.0
v400/21,400,39295,0.4924185463659148,100.02437500000002,0.11941597083160162,12,142.78668522834778,12,1.0,227.73059797286987,12,1.0,1.20862820148468,12,0.4,0.21620001792907714,0,0.0
v400/22,400,309,0.0038721804511278194,2.5929750000000045,0.0,2,0.0009999275207519531,2,1.0,0.029000043869018555,2,1.0,0.11600241661071778,2,1.0,0.0,2,1.0
v400/23,400,49351,0.6184335839598998,105.2899750000001,0.23670013601843806,17,600.0,0,0.0,600.0,0,0.0,1.8202234268188477,17,0.3,0.2524000406265259,17,0.2
v400/24,400,34328,0.4301754385964912,113.56040000000002,0.07973023009785771,11,28.285893440246582,11,1.0,67.42820358276367,11,1.0,1.0121048450469972,11,0.2,0.2050023078918457,0,0.0
